site_name,site_id,ccamlr region,longitude_EPSG4326,latitude_EPSG4326,common_name,day,month,year,season_starting,count,accuracy,count_type,vantage,reference,notes
Mertz Glacier,MERT,58.4.1,146.62,-66.892,emperor penguin,17,11,2009,2009,4781,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Noville Peninsula,NOVI,88.3,-98.45,-71.77,emperor penguin,17,11,2009,2009,3568,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Point Geologie,PGEO,58.4.1,140.01,-66.67,emperor penguin,Unknown,Unknown,1981,1981,3020,1,nests,None,"<strong>Wilson, G., </strong><i> 1983</i>. Distribution and abundance of Antarctic and sub- Antarctic penguins: A synthesis of current knowledge, volume 4 of BIOMASS Scientific Series. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Point Geologie,PGEO,58.4.1,140.01,-66.67,adelie penguin,Unknown,Unknown,1984,1984,29182,1,adults,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Point Geologie,PGEO,58.4.1,140.01,-66.67,emperor penguin,Unknown,Unknown,1984,1984,3119,1,adults,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Point Geologie,PGEO,58.4.1,140.01,-66.67,emperor penguin,Unknown,Unknown,1987,1987,2300,1,chicks,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Point Geologie,PGEO,58.4.1,140.01,-66.67,adelie penguin,Unknown,Unknown,1998,1998,42161,1,nests,ground,"<strong>Micol, T. and P. Jouventin, </strong><i> 2001</i>. Long-term population trends in seven Antarctic seabirds at Pointe G&#233;ologie (Terre Ad&#233;lie) Human impact compared with environmental change. Polar Biology 24:175-185.","Estimated accuracy; this includes the 'Core Area' as well as all other islands in original source except for Fram, Ifo, Helene, and Rocher Gris, which are included as separate locations."
Point Geologie,PGEO,58.4.1,140.01,-66.67,emperor penguin,1,10,2009,2009,2456,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Peterson Bank,PSON,58.4.1,110.23,-65.92,emperor penguin,24,10,2009,2009,0,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Ragnhild,RAGN,48.6,27.15,-69.9,emperor penguin,10,10,2009,2009,6870,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Riiser,RIIS,48.6,-15.11,-72.12,emperor penguin,Unknown,Unknown,1986,1986,5900,2,chicks,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Riiser,RIIS,48.6,-15.11,-72.12,emperor penguin,27,10,2009,2009,4013,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.","See original source for more details on methodology and survey precision. From e-mail from Peter Fretwell: The Riiser colony is 'probably' the same one documented in Woehler's synopsis as Riiser-Larsen Ice shelf. The previous coordinates were from Hempel & Stonehouse's 1987 Polar Stern survey and those old coordinates are particularly coarse. The  17W, 72E location is actually 47 km offshore and probably represents the general location, or the location of the ice shelf itself.  Most of the coordinates from this survey were very coarse, for instance the location of the Halley colony simply cites the Brunt Ice shelf CGA location. However the original Riiser Larsen coordinate is still a long way from our own location on the Riisser Larsen ice shelf, it could be that the colony was further west previously, but it is impossible to say. It is likely that it is the same colony as no colony exists nearer the original point."
Cape Roget,ROGE,88.1,170.59,-71.99,emperor penguin,Unknown,Unknown,1964,1964,11700,3,chicks,None,"<strong>Wilson, G., </strong><i> 1983</i>. Distribution and abundance of Antarctic and sub- Antarctic penguins: A synthesis of current knowledge, volume 4 of BIOMASS Scientific Series. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Cape Roget,ROGE,88.1,170.59,-71.99,emperor penguin,Unknown,Unknown,1983,1983,3851,2,chicks,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Cape Roget,ROGE,88.1,170.59,-71.99,emperor penguin,Unknown,Unknown,2007,2007,10414,2,chicks,ground,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Roget,ROGE,88.1,170.59,-71.99,emperor penguin,Unknown,Unknown,2007,2007,4339,1,adults,ground,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Roget,ROGE,88.1,170.59,-71.99,emperor penguin,Unknown,Unknown,2008,2008,10088,2,chicks,ground,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Roget,ROGE,88.1,170.59,-71.99,emperor penguin,Unknown,Unknown,2008,2008,5934,1,adults,ground,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Roget,ROGE,88.1,170.59,-71.99,emperor penguin,16,10,2009,2009,9505,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Cape Roget,ROGE,88.1,170.59,-71.99,emperor penguin,Unknown,Unknown,2010,2010,3888,2,chicks,ground,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Roget,ROGE,88.1,170.59,-71.99,emperor penguin,Unknown,Unknown,2010,2010,5702,1,adults,ground,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Roget,ROGE,88.1,170.59,-71.99,emperor penguin,Unknown,Unknown,2011,2011,8702,1,chicks,ground,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Roget,ROGE,88.1,170.59,-71.99,emperor penguin,Unknown,Unknown,2011,2011,7144,1,adults,ground,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Roget,ROGE,88.1,170.59,-71.99,emperor penguin,Unknown,Unknown,2012,2012,5113,1,chicks,ground,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Roget,ROGE,88.1,170.59,-71.99,emperor penguin,Unknown,Unknown,2012,2012,6270,1,adults,ground,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Rupert Coast,RUPE,88.2,-143.3,-75.38,emperor penguin,20,10,2008,2008,1550,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Sanae,SANA,48.6,-1.42,-70.0,emperor penguin,Unknown,Unknown,1979,1979,113,3,chicks,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Sanae,SANA,48.6,-1.42,-70.0,emperor penguin,28,10,2009,2009,3193,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Shackleton Ice Shelf,SHAC,58.4.1,96.02,-64.86,emperor penguin,Unknown,Unknown,1960,1960,5000,5,adults,None,"<strong>Wilson, G., </strong><i> 1983</i>. Distribution and abundance of Antarctic and sub- Antarctic penguins: A synthesis of current knowledge, volume 4 of BIOMASS Scientific Series. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Shackleton Ice Shelf,SHAC,58.4.1,96.02,-64.86,emperor penguin,10,10,2009,2009,6471,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Smith,SMTH,48.5,-60.83,-74.37,emperor penguin,30,10,2009,2009,4018,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Smyley,SMYL,88.3,-78.83,-72.3,emperor penguin,12,11,2009,2009,6061,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Snow Hill Island,SNOW,48.1,-57.44,-64.52,emperor penguin,26,10,2009,2009,2164,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Stancomb,STCB,48.5,-23.09,-74.12,emperor penguin,Unknown,Unknown,1986,1986,3000,5,adults,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Stancomb,STCB,48.5,-23.09,-74.12,emperor penguin,21,10,2009,2009,5455,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Taylor Glacier,TAYG,58.4.2,60.88,-67.45,emperor penguin,Unknown,Unknown,1980,1980,1725,3,adults,None,"<strong>Wilson, G., </strong><i> 1983</i>. Distribution and abundance of Antarctic and sub- Antarctic penguins: A synthesis of current knowledge, volume 4 of BIOMASS Scientific Series. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Taylor Glacier,TAYG,58.4.2,60.88,-67.45,emperor penguin,Unknown,Unknown,1988,1988,2900,3,adults,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Taylor Glacier,TAYG,58.4.2,60.88,-67.45,emperor penguin,21,10,2009,2009,519,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
"Thurston Glacier, Mount Siple",THUR,88.2,-125.621,-73.5,emperor penguin,17,10,2009,2009,2989,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Umbeashi,UMBE,58.4.2,43.01,-68.05,emperor penguin,Unknown,Unknown,1990,1990,235,None,chicks,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Umbeashi,UMBE,58.4.2,43.01,-68.05,emperor penguin,14,10,2009,2009,146,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,1968,1968,3150,4,chicks,None,"<strong>Wilson, G., </strong><i> 1983</i>. Distribution and abundance of Antarctic and sub- Antarctic penguins: A synthesis of current knowledge, volume 4 of BIOMASS Scientific Series. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,1983,1983,16384,2,chicks,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,1986,1986,19364,2,chicks,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2000,2000,17397,1,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2001,2001,18734,1,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2002,2002,11093,1,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2003,2003,13163,1,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2004,2004,16700,1,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2004,2004,11160,1,adults,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2005,2005,23021,1,chicks,ground photo,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2005,2005,17015,2,adults,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2006,2006,17358,1,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2006,2006,16822,1,adults,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2007,2007,16120,2,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2007,2007,15651,1,adults,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2008,2008,23275,2,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2008,2008,10220,1,adults,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,16,10,2009,2009,11808,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2010,2010,17344,1,chicks,ground photo,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2010,2010,6003,1,adults,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2011,2011,20422,1,chicks,ground photo,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2011,2011,10322,1,adults,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2012,2012,12782,1,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Washington,WASH,88.1,165.37,-74.64,emperor penguin,Unknown,Unknown,2012,2012,17096,1,adults,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
